"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"4","270","71","14","40","0.64","5","20","0.31","0.08","1.2","41","6.300000000000001","4","true","2","70","130","786.3130537798725","10","640.0116732210803"
"4","280","81","18","165","0.26","61","16","0.91","0.03","6.7","24","5.7","44","true","4","400","390","768.7544057366864","10","640.0116732210803"
"4","290","44","19","95","0.05","5","15","0.6","0.14","4.1","42","3.2","43","true","3","230","250","702.150637973168","10","640.0116732210803"
"4","300","84","10","390","0.76","72","20","0.43","0.05","8.9","26","0.30000000000000004","13","false","5","20","280","739.596069184414","10","640.0116732210803"
"4","310","91","7","315","0.4","22","10","0.26","0.17","8.8","53","3.1","22","true","5","370","410","734.1731195814284","10","640.0116732210803"
"4","320","90","6","40","0.84","15","11","0.55","0.03","6.5","4","6","13","false","1","380","480","728.6757624764714","10","640.0116732210803"
"4","330","11","20","345","0.23","49","13","0.74","0.06","4.7","36","2.2","37","false","1","0","50","810.2701173239444","10","640.0116732210803"
"4","340","99","15","470","0.53","4","2","0.84","0.1","6.4","40","4.5","21","true","5","120","240","815.815525879484","10","640.0116732210803"
"4","350","55","12","450","0.63","51","18","0.88","0","6.7","26","1.2000000000000002","28","false","3","380","95","782.2357101279647","10","640.0116732210803"
"4","360","50","3","235","0.9500000000000001","54","8","0.31","0.15","3.3000000000000003","26","3.9000000000000004","42","false","1","230","495","698.264333445805","10","640.0116732210803"
"4","370","37","8","225","0.43","91","4","0.8300000000000001","0.02","3.8000000000000003","59","3.7","6","true","5","210","445","752.6100311888405","10","640.0116732210803"
"4","380","71","15","420","0.97","22","15","0.98","0.15","6.300000000000001","33","2.8000000000000003","21","true","3","360","385","765.2270026347403","10","640.0116732210803"
